[webapp:989-exec-10] [2026-03-27 00:00:43,943] [DEBUG  ]: [LegacyRestRepository.java::sendRequest:57] Calling to perl code [UserSession::getUserSession] 
[1433573] [0fe9906e58] [2026-03-27 00:00:43,959] [debug  ]: [/html/Elements/CommandsDispatcher::(eval):108] Destination module: [UserSession], Command: [getUserSession]
[1433573] [0fe9906e58] [2026-03-27 00:00:43,959] [debug  ]: [/lib/FireFlow/CDModule/UserSession.pm::getUserSession:63] getUserSession: starting... 
[1433573] [0fe9906e58] [2026-03-27 00:00:43,959] [debug  ]: [/lib/FireFlow/CDModule/UserSession.pm::_getFFSessionState:125] isUserSessionValid: starting... 
[1433573] [0fe9906e58] [2026-03-27 00:00:43,960] [warning]: [/lib/FireFlow/CDModule/UserSession.pm::_getFFSessionState:130] Invalid session key [bc86040555]
[1433573] [0fe9906e58] [2026-03-27 00:00:43,960] [debug  ]: [/html/Elements/CommandsDispatcher::__ANON__:346] Command Dispatcher [UserSession:getUserSession] (took 0.001561 sec)
[webapp:1989-exec-2] [2026-03-27 00:00:43,964] [INFO   ]: [CommandLineServiceImpl.java::executeExternalCommand:73] Running command: bash -c ps -C StartWorker.pl | wc -l
[webapp:1989-exec-9] [2026-03-27 00:00:43,967] [INFO   ]: [AuthenticationExternalController.java::authenticate:65] Authenticating user [Backup_user]
[webapp:1989-exec-9] [2026-03-27 00:00:43,967] [DEBUG  ]: [LegacyRestRepository.java::sendRequest:57] Calling to perl code [Authentication::authenticateUser] 
[1433573] [7678b97ed0] [2026-03-27 00:00:43,982] [debug  ]: [/html/Elements/CommandsDispatcher::(eval):108] Destination module: [Authentication], Command: [authenticateUser]
[1433573] [7678b97ed0] [2026-03-27 00:00:43,983] [debug  ]: [/lib/FireFlow/CDModule/Authentication.pm::authenticateUser:68] authenticateUser: authenticate function - going to run verifyOrPerformAuth function
[1433573] [7678b97ed0] [2026-03-27 00:00:43,983] [debug  ]: [/lib/FireFlow/AuthenticationUtils.pm::verifyOrPerformAuth:56] WebService: inside verifyOrPerformAuth function
